[  295.139550] [pid: 2389], CPUburst : 3923419, rt_priority:10
[  295.143477] [pid: 2388], CPUburst : 3927693, rt_priority:10
[  295.147337] [pid: 2389], CPUburst : 3859964, rt_priority:10
[  295.151541] [pid: 2388], CPUburst : 4204077, rt_priority:10
[  295.155307] [pid: 2389], CPUburst : 3765315, rt_priority:10
[  295.159341] [pid: 2388], CPUburst : 4032543, rt_priority:10
[  295.163989] [pid: 2389], CPUburst : 4647060, rt_priority:10
[  295.168848] [pid: 2388], CPUburst : 4861615, rt_priority:10
[  295.171882] [pid: 2389], CPUburst : 3033991, rt_priority:10
[  295.175459] [pid: 2388], CPUburst : 3574942, rt_priority:10
[  295.180198] [pid: 2389], CPUburst : 4738706, rt_priority:10
[  295.184096] [pid: 2388], CPUburst : 3899585, rt_priority:10
[  295.187321] [pid: 2389], CPUburst : 3225518, rt_priority:10
[  295.191881] [pid: 2388], CPUburst : 4560148, rt_priority:10
[  295.195783] [pid: 2389], CPUburst : 3900720, rt_priority:10
[  295.199695] [pid: 2388], CPUburst : 3913477, rt_priority:10
[  295.203660] [pid: 2389], CPUburst : 3965505, rt_priority:10
